Date,Close,High,Low,Open,Volume
2025-04-09 13:30:00,173.5,173.60000610351562,171.88999938964844,172.1790008544922,8559483
2025-04-09 13:31:00,174.08999633789062,174.7449951171875,172.5,173.52000427246094,855402
2025-04-09 13:32:00,175.01499938964844,175.14950561523438,173.82699584960938,174.08999633789062,822727
2025-04-09 13:33:00,175.7899932861328,175.94000244140625,174.25,175.02000427246094,719214
2025-04-09 13:34:00,174.80999755859375,175.97950744628906,174.5399932861328,175.83999633789062,709960
2025-04-09 13:35:00,175.15499877929688,175.25869750976562,174.49000549316406,174.7899932861328,460890
2025-04-09 13:36:00,176.11000061035156,176.17999267578125,175.02000427246094,175.1699981689453,640827
2025-04-09 13:37:00,175.3000030517578,176.14849853515625,175.02000427246094,176.11000061035156,700886
2025-04-09 13:38:00,176.88999938964844,177.12840270996094,175.19000244140625,175.3000030517578,584360
2025-04-09 13:39:00,178.51499938964844,178.63999938964844,176.81719970703125,176.9499969482422,878944
2025-04-09 13:40:00,178.5,178.75999450683594,177.86000061035156,178.49000549316406,606969
2025-04-09 13:41:00,178.5,178.89999389648438,178.0,178.4600067138672,673223
2025-04-09 13:42:00,177.71499633789062,178.77999877929688,177.6999969482422,178.47999572753906,556981
2025-04-09 13:43:00,177.01199340820312,178.0800018310547,176.8000030517578,177.70350646972656,642627
2025-04-09 13:44:00,176.6103973388672,177.47999572753906,176.42999267578125,177.00999450683594,568041
2025-04-09 13:45:00,176.30999755859375,177.2899932861328,176.2899932861328,176.5800018310547,514397
2025-04-09 13:46:00,176.56500244140625,176.85989379882812,176.21009826660156,176.27999877929688,423587
2025-04-09 13:47:00,176.35000610351562,176.76829528808594,175.8115997314453,176.56500244140625,398209
2025-04-09 13:48:00,176.84500122070312,176.89999389648438,175.91000366210938,176.41000366210938,418089
2025-04-09 13:49:00,177.6300048828125,177.67999267578125,176.69500732421875,176.8350067138672,386509
2025-04-09 13:50:00,177.61500549316406,177.91000366210938,177.25,177.6199951171875,319042
2025-04-09 13:51:00,177.8000030517578,178.05999755859375,177.49000549316406,177.5800018310547,265607
2025-04-09 13:52:00,177.55999755859375,178.0800018310547,177.29010009765625,177.81500244140625,410849
2025-04-09 13:53:00,177.91050720214844,177.92999267578125,177.38499450683594,177.55250549316406,254648
2025-04-09 13:54:00,177.65499877929688,177.92999267578125,177.1999969482422,177.9199981689453,289167
2025-04-09 13:55:00,177.61500549316406,177.97000122070312,177.27000427246094,177.72999572753906,349756
2025-04-09 13:56:00,178.38999938964844,178.44000244140625,177.5507049560547,177.60000610351562,448073
2025-04-09 13:57:00,177.72999572753906,178.3885040283203,177.64999389648438,178.3800048828125,257669
2025-04-09 13:58:00,177.85000610351562,178.1049041748047,177.3300018310547,177.72000122070312,306295
2025-04-09 13:59:00,177.49000549316406,177.9199981689453,177.375,177.89999389648438,142063
2025-04-09 14:00:00,178.07530212402344,178.2559051513672,178.02000427246094,178.19000244140625,628810
2025-04-09 14:01:00,178.49000549316406,178.94039916992188,178.02000427246094,178.07400512695312,344080
2025-04-09 14:02:00,179.0500030517578,179.1999969482422,178.4499969482422,178.50999450683594,505660
2025-04-09 14:03:00,178.66009521484375,179.4199981689453,178.47999572753906,179.0500030517578,520827
2025-04-09 14:04:00,178.74749755859375,178.8000030517578,178.24000549316406,178.6699981689453,280471
2025-04-09 14:05:00,177.9199981689453,178.73550415039062,177.75,178.6699981689453,300734
2025-04-09 14:06:00,177.22000122070312,177.93499755859375,176.77000427246094,177.93499755859375,436383
2025-04-09 14:07:00,177.1750030517578,177.27999877929688,176.72000122070312,177.19000244140625,323249
2025-04-09 14:08:00,177.4499969482422,177.5290985107422,176.99000549316406,177.1750030517578,292689
2025-04-09 14:09:00,177.30499267578125,177.52999877929688,177.17999267578125,177.4600067138672,320309
2025-04-09 14:10:00,178.1300048828125,178.1300048828125,177.15060424804688,177.35499572753906,290698
2025-04-09 14:11:00,178.45199584960938,178.72390747070312,178.05999755859375,178.11500549316406,300397
2025-04-09 14:12:00,178.02499389648438,178.66000366210938,177.97000122070312,178.39500427246094,228006
2025-04-09 14:13:00,177.82000732421875,178.0500030517578,177.47999572753906,178.0500030517578,233497
2025-04-09 14:14:00,177.6750030517578,177.80999755859375,177.3800048828125,177.75,300658
2025-04-09 14:15:00,177.52000427246094,178.01499938964844,177.52000427246094,177.69000244140625,356728
